9.98,0.07421007752418518,P250 | Inferno (Minimal Wear)
9.98,0.07630634307861328,P250 | Inferno (Minimal Wear)
9.98,0.0726604238152504,P250 | Inferno (Minimal Wear)
9.99,0.07105939835309982,P250 | Inferno (Minimal Wear)
10,0.1451554298400879,P250 | Inferno (Minimal Wear)
10,0.12025013566017151,P250 | Inferno (Minimal Wear)
10,0.12419518828392029,P250 | Inferno (Minimal Wear)
10,0.13185888528823853,P250 | Inferno (Minimal Wear)
10,0.12791460752487183,P250 | Inferno (Minimal Wear)
10,0.13199591636657715,P250 | Inferno (Minimal Wear)
10,0.13222987949848175,P250 | Inferno (Minimal Wear)
10,0.07890874892473221,P250 | Inferno (Minimal Wear)
10.15,0.08645261079072952,P250 | Inferno (Minimal Wear)
10.15,0.14004045724868774,P250 | Inferno (Minimal Wear)
10.4,0.13548658788204193,P250 | Inferno (Minimal Wear)
10.4,0.09944208711385727,P250 | Inferno (Minimal Wear)
10.5,0.1336548626422882,P250 | Inferno (Minimal Wear)
10.5,0.07618613541126251,P250 | Inferno (Minimal Wear)
10.5,0.0761304646730423,P250 | Inferno (Minimal Wear)
10.5,0.08867012709379196,P250 | Inferno (Minimal Wear)
